"category","kor_name","english_name","occurrence_count","regions","reason"
"armor","검은 칼날 세트","Black Knife Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","겔미어 기사 세트","Gelmir Knight Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","고립 감옥 세트","Solitude Set","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","귀인 세트","Noble's Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","금가면 세트","Goldmask's Set","1","extra","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","기행 마술사 세트(투구 제외)","Errant Sorcerer Set (No Helm)","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","나찰 세트","Rakshasa Set","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","녹청 세트 - 에니르 일림","Verdigris Set - Enir-Ilim","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","눈 마녀 세트","Snow Witch Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","눈의 서코트","Eye Surcoat","1","surface","방어구 명칭 차이 또는 데이터 누락"
"armor","대사제 세트","High Priest Set","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","도가니 나무 세트","Crucible Tree Set","1","underground","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","도가니 도끼 세트","Crucible Axe Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","마술 교수 세트","Preceptor's Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","무희 세트","Dancer's Set","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","밤 기병 세트","Night's Cavalry Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","밤 세트 - 보니의 감옥","Night Set - Bonny Gaol","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","방랑 민족 상인 세트","Nomadic Merchant's Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","백면 갈대 세트","White Reed Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","버섯 세트(왕관 제외)","Mushroom Set (No Crown)","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","비늘 세트","Scaled Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","뿔인간 세트","Hornsent Set","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","사냥개기사 세트","Bloodhound Knight Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","서약기사 세트","Oathseeker Knight Set","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","손가락 무녀 세트","Finger Maiden Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","시민의 옷","Commoner's Simple Garb","1","surface","방어구 명칭 차이 또는 데이터 누락"
"armor","신의 살갗의 귀인 세트","Godskin Noble Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","신의 살갗의 사도 세트","Godskin Apostle Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","알베리히 세트","Alberich's Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","야로다스의 휘석 머리","Hierodas Glintstone Crown","1","surface","방어구 명칭 차이 또는 데이터 누락"
"armor","에이곤 세트","Igon's Set","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","여행 무녀 세트","Traveling Maiden Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","여행 세트","Traveler's Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","온 지혜 세트","All-Knowing Set","1","extra","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","왕의 반려 세트","Consort's Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","용기사 세트","Drake Knight Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","자미엘 세트","Zamor Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","전쟁 외과의 세트","War Surgeon Set","1","underground","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","전투 마술사 세트","Battlemage Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","조향사 여행 세트","Perfumer Traveler's Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","종군 늑대 세트","Raging Wolf Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","죽음 기사 세트 - 어둠빛 지하 묘지","Death Knight Set - Darklight Catacombs","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","지문 세트","Fingerprint Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","짐승 집회 세트","Beast Champion Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","철 못 세트","Iron Rivet Set","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","카리아 기사 세트","Carian Knight Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","큰 산양 세트","Bull-Goat Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","티에리에 세트 - 에니르 일림","Thiollier's Set - Enir-Ilim","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","프레이야 세트 - 에니르 일림","Freyja's Set - Enir-Ilim","1","dlc","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","피의 귀족 세트","Sanguine Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","현자 세트","Sage Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","호슬로 세트","Hoslow's Set","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"armor","흉조잡이 세트(투구 제외)","Omenkiller Set (No Helm)","1","surface","세트 항목: 여러 방어구 중 대표 이미지 선택 필요"
"ash_of_war","전회: 독나방은 두 번 춤춘다","Ash of War: Poison Moth Flight","1","surface","전회 명칭 차이 또는 데이터 누락"
"ash_of_war","전회: 애로우 레인","Ash of War: Rain of Arrows","1","surface","전회 명칭 차이 또는 데이터 누락"
"ash_of_war","전회: 환영의 창","Ash of War: Phantom Slash","1","surface","전회 명칭 차이 또는 데이터 누락"
"consumable","격앙의 이끼약 x1 - 벨라트 탑의 도시","Stimulating Boluses x1 - Belurat Tower Settlement","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","군주군의 볼트 - 에니르 일림","Lordsworn's Bolt - Enir-Ilim","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","대형 화살 x10","Great Arrow x10","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","독 투척 뼈화살","Poisonbone Dart (A)","1","surface","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","독 투척 뼈화살 x8 - 벨라트 탑의 도시","Poisonbone Dart x8 - Belurat Tower Settlement","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","라우프 벌레","Rauh Burrow","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","발리스타 볼트 x5","Ballista Bolt x5","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","뱀 화살 x8 - 벨라트 탑의 도시","Serpent Arrow x8 - Belurat Tower Settlement","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","볼트 x10","Bolt x10","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","볼트 x10 - 보니의 감옥","Bolt x10 - Bonny Gaol","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","볼트 x5","Bolt x5","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","부드러운 면","Soft Cotton B","1","surface","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","불화살 - 1x Stormhill Warmaster Shack","Fire Arrow - 1x Stormhill Warmaster Shack ","1","surface","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","불화살 x10","Fire Arrow x10","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","불화살 x10 - 에니르 일림","Fire Arrow x10 - Enir-Ilim","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","뼈 투척 나이프 x8","Bone Dart x8","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","신혈의 살점 x5","Sacred Flesh x5","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","얼룩진 흰 육포 x2 - 전갈 강 지하 묘지","Dappled White Cured Meat x2 - Scorpion River Catacombs","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","영웅의 룬 [1]","Hero's Rune [1] - Hidden Path to the Haligtree","1","surface","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","영웅의 룬 [1]","Hero's Rune (1) A","1","surface","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","영웅의 룬 [1]","Hero's Rune (1)","1","surface","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","영혼 불 화살 - 15x Elphael, Brace of the Haligtree","Spiritflame Arrow - 15x Elphael, Brace of the Haligtree","1","surface","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","이성의 환약 x2","Clarifying Boluses x2","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","이성의 환약 x3","Clarifying Boluses x3","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","축복의 물방울","Grace Mimic (B)","1","surface","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","쿠크리 x5","Kukri x5","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","쿠크리 x6","Kukri x6","2","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","트리나의 화살 x10 - 석관의 대구멍","St. Trina's Arrow x10 - Stone Coffin Fissure","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","화살 x10","Arrow x10","3","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","화살 x10 - 벨라트 탑의 도시","Arrow x10 - Belurat Tower Settlement","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","황금 볼트 x10 - 에니르 일림","Golden Bolt x10 - Enir-Ilim","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","황금의 룬","Golden Rune","1","surface","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","회춘의 환약","Rejuvenating Boluses (B)","1","surface","묶음 수량 제거 후에도 동일 데이터 없음"
